Country name,Year,Log GDP per capita,Healthy life expectancy at birth,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality,Cluster
Nepal,2017,0.2436987541743635,0.5278370319616613,0.7617631825541782,0.5154068803298475,0.4155398222639945,0.2630601311301339,5
Netherlands,2017,0.8622733568297543,0.8704065492627528,0.2353537118026365,0.6417479767814375,0.904067825624393,0.9695912593437088,0
New Zealand,2017,0.8011795611431591,0.8983715275033143,0.0526869548739346,0.5722007869721439,1.0,0.9976786247738992,0
Nicaragua,2017,0.4048919302038937,0.6956261016097011,0.6360413143160712,0.5508439948636276,0.4345844401400372,0.2761046535956943,1
Niger,2017,0.042874011285574,0.1992497368911071,0.7714404337196148,0.5631271988227619,0.2969959290651263,0.2861485068348711,5
Nigeria,2017,0.4055525617689245,0.0699121790612207,0.845455737526458,0.5145018492448193,0.2149539789090079,0.2127258298401302,5
Norway,2017,0.9223760069376172,0.9018670829735584,0.0886702399748616,0.69643861252712,0.9559824391055088,1.0,0
Pakistan,2017,0.3934246641471805,0.377525740014403,0.6890192222544651,0.5129445287763076,0.098108923303858,0.2858731028317696,5
Panama,2017,0.7012267783003565,0.776025214146178,0.8530666810965909,0.3217367660426743,0.6765196322037036,0.4571758122868695,3
Paraguay,2017,0.5096638075851369,0.6362008560237365,0.8131358204774509,0.3111538572328458,0.5558491392117114,0.3032057547997408,3
Peru,2017,0.577284743833608,0.7165999685602135,0.9236872923711092,0.16503746251642,0.5474515465748442,0.4171556705601633,3
Philippines,2017,0.4786559883848839,0.5068632981938501,0.6854463882515518,0.8349516409688248,0.3782436387728737,0.4020608621407595,2
Portugal,2017,0.7481896550908866,0.8704065492627528,0.9050468935982452,0.4482122084220456,0.8753356873169905,0.7467506553212035,4
Romania,2017,0.7107320909946888,0.685139434849408,0.9628390674400902,0.21529353842511,0.6280019711176856,0.5088343609718354,3
Russia,2017,0.7232469692234181,0.5802711662575769,0.8799832576219259,0.5119819110180978,0.2900153892975528,0.3152549080070003,1
Rwanda,2017,0.1866232406476049,0.4614204083706848,0.0421724774649429,1.0,0.38863309774204,0.5419564419285451,2
Senegal,2017,0.2460394941049701,0.4159775185475194,0.8329757200677739,0.5741621768602936,0.5841948944589012,0.417481993071074,5
Serbia,2017,0.6058761052081135,0.7165999685602135,0.8668795542616331,0.459826551334508,0.5765011912058298,0.4397984282191072,1
Sierra Leone,2017,0.1270111277394077,0.0664166232414158,0.8629228445103205,0.7198252696700145,0.5184303797309064,0.2312077959151951,5
Slovakia,2017,0.7640082842856034,0.7445646800858118,0.9560684138255628,0.2650817603815071,0.8074870141682503,0.6256202458188893,4
Slovenia,2017,0.7723885878998086,0.8214682371520445,0.8375704527033007,0.1480170570698923,0.8193597640601967,0.7027838926565436,4
South Africa,2017,0.578266608673324,0.3076135609531824,0.884110939059273,0.3588183697165606,0.5984325145740567,0.4969324171835942,3
South Korea,2017,0.800331756897359,0.9088584609785704,0.8658871003719348,0.2844991762039546,0.6937096157817895,0.7191267116238929,4
Spain,2017,0.7905048148800294,0.9368231725041688,0.7890399709177812,0.1822589279028384,0.7322227989959361,0.6955336875225351,4
Sri Lanka,2017,0.5674512865834587,0.6886349903196521,0.8575063218773489,0.4671697143511914,0.5271191932588494,0.4190208970614174,1
Sweden,2017,0.855663093118122,0.880893482738009,0.0752922548510989,0.5152729433803743,0.9138521768294264,0.9772070147660824,0
Switzerland,2017,0.8973077491186241,0.9263365057438756,0.1746353605869846,0.8142461812805036,0.9442456671945296,0.9869147426749666,0
Tajikistan,2017,0.2789971237394,0.5767754772550708,0.6947207231314341,0.9407150512865576,0.1997328516182198,0.1404702331155424,2
Tanzania,2017,0.2631393043944746,0.3390740950135485,0.6110075097647707,0.921812394403323,0.4192146446916761,0.3223627001442444,2
Thailand,2017,0.6363616979609483,0.6886349903196521,0.9087277981361954,0.5676783036917918,0.2843823173145952,0.4763974706101974,1
Togo,2017,0.1328129758971794,0.2446926267142725,0.7040097816760255,0.429675172402221,0.3483299715887057,0.2423721416152306,5
Trinidad and Tobago,2017,0.7542233962639097,0.5662886769625158,0.9443175313833784,0.1856535972065053,0.6665974177487963,0.4516768300715444,3
Tunisia,2017,0.5523708839895548,0.6746525010245911,0.8893419215316432,0.160708694798644,0.4188857372000472,0.4298630641273059,3
Turkey,2017,0.7262626545634125,0.6676613900841027,0.6333865489813609,0.5459455180649659,0.1833124255056798,0.4417319822476543,1
Uganda,2017,0.1683671278715028,0.2796487162448828,0.820726259550091,0.6251538760780149,0.3787958157202521,0.3217383061905458,5
Ukraine,2017,0.4865462491869662,0.5942536552030773,0.9772018568728086,0.0,0.2745009374490971,0.3127535734024417,3
United Kingdom,2017,0.8212180550847394,0.8669109934429481,0.3071003245501782,0.3781720354708173,0.7753927752296832,0.9067164812051836,0
United States,2017,0.8854923982085324,0.7375735691453235,0.6466821139140336,0.3166118083153501,0.740593906002418,0.8772462904465498,4
Uruguay,2017,0.6846276736939995,0.7550516139106287,0.5760585734255877,0.3470520821720962,0.8670045459313501,0.6605609694594766,4
Uzbekistan,2017,0.438292712020901,0.6117316999683824,0.3666290036573557,0.9808057094162204,0.2453827335670055,0.1925127305717062,2
Venezuela,2017,0.5828953722889658,0.664165834264298,0.8571949031129322,0.1495609226115919,0.1996305713023071,0.0,3
Zambia,2017,0.3290523919190615,0.2621706714795777,0.722142506937827,0.6962597568926786,0.5120514371868969,0.3342069027049671,5
Zimbabwe,2017,0.1916491531466841,0.2691619159523278,0.7372313469829754,0.6567894797967554,0.2595386798811694,0.1046765375118755,5
